iter	Passed	Remaining
774	1623	471
775	1624	468
776	1625	466
777	1626	464
778	1627	461
779	1629	459
780	1630	457
781	1631	454
782	1632	452
783	1633	450
784	1634	447
785	1635	445
786	1636	442
787	1637	440
788	1638	438
789	1639	435
790	1639	433
791	1640	430
792	1641	428
793	1644	426
794	1645	424
795	1646	421
796	1647	419
797	1648	417
798	1649	414
799	1649	412
800	1651	410
801	1651	407
802	1652	405
803	1653	403
804	1654	400
805	1655	398
806	1656	396
807	1657	393
808	1659	391
809	1660	389
810	1661	387
811	1662	384
812	1663	382
813	1664	380
814	1665	378
815	1666	375
816	1667	373
817	1668	371
818	1669	368
819	1670	366
820	1671	364
821	1672	362
822	1674	360
823	1675	357
824	1676	355
825	1677	353
826	1678	351
827	1679	348
828	1680	346
829	1681	344
830	1682	342
831	1683	339
832	1683	337
833	1684	335
834	1685	333
835	1686	330
836	1689	329
837	1690	326
838	1691	324
839	1692	322
840	1693	320
841	1694	317
842	1695	315
843	1696	313
844	1697	311
845	1698	309
846	1699	307
847	1700	304
848	1701	302
849	1702	300
850	1704	298
851	1705	296
852	1707	294
853	1708	292
854	1709	289
855	1711	287
856	1712	285
857	1713	283
858	1714	281
859	1716	279
860	1717	277
861	1719	275
862	1720	273
863	1721	270
864	1722	268
865	1723	266
866	1724	264
867	1725	262
868	1726	260
869	1728	258
870	1729	256
871	1732	254
872	1736	252
873	1737	250
874	1738	248
875	1739	246
876	1740	244
877	1741	242
878	1742	239
879	1743	237
880	1744	235
881	1745	233
882	1746	231
883	1747	229
884	1748	227
885	1750	225
886	1751	223
887	1752	221
888	1753	218
889	1754	216
890	1755	214
891	1755	212
892	1756	210
893	1757	208
894	1758	206
895	1759	204
896	1760	202
897	1761	200
898	1762	197
899	1764	196
900	1765	194
901	1766	191
902	1767	189
903	1768	187
904	1769	185
905	1770	183
906	1771	181
907	1772	179
908	1773	177
909	1774	175
910	1775	173
911	1776	171
912	1777	169
913	1778	167
914	1780	165
915	1780	163
916	1781	161
917	1782	159
918	1783	157
919	1784	155
920	1785	153
921	1803	152
922	1804	150
923	1806	148
924	1807	146
925	1809	144
926	1811	142
927	1812	140
928	1813	138
929	1815	136
930	1816	134
931	1818	132
932	1819	130
933	1820	128
934	1821	126
935	1822	124
936	1825	122
937	1827	120
938	1828	118
939	1829	116
940	1830	114
941	1831	112
942	1832	110
943	1833	108
944	1834	106
945	1835	104
946	1836	102
947	1837	100
948	1839	98
949	1840	96
950	1842	94
951	1843	92
952	1844	90
953	1844	88
954	1845	86
955	1846	84
956	1847	83
957	1848	81
958	1849	79
959	1850	77
960	1851	75
961	1852	73
962	1854	71
963	1855	69
964	1856	67
965	1857	65
966	1858	63
967	1859	61
968	1860	59
969	1861	57
970	1862	55
971	1863	53
972	1864	51
973	1865	49
974	1865	47
975	1866	45
976	1868	43
977	1869	42
978	1870	40
979	1871	38
980	1872	36
981	1873	34
982	1874	32
983	1874	30
984	1875	28
985	1876	26
986	1877	24
987	1878	22
988	1879	20
989	1880	18
990	1881	17
991	1882	15
992	1884	13
993	1885	11
994	1886	9
995	1887	7
996	1888	5
997	1889	3
998	1890	1
999	1891	0
